Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat,Place Categories
"Nzerekore, Guinea",Guinea,Ebola,Humans,4140394,Ebola claims another victim in Guinea as vaccinations ramped up - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEkmEeHMZoLIY3DrPq5CyDAF3FKkQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779076393707&ei=bBkEV_CnLMW53gHcrYzwBA&url=http://www.globalpost.com/article/6755549/2016/04/05/ebola-claims-another-victim-guinea-vaccinations-ramped,4/5/16 15:30,Breaking,,,,,,Google News,-8.816667,7.75,
Guinea,Guinea,Ebola,Humans,4140394,Ebola claims another victim in Guinea as vaccinations ramped up - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEkmEeHMZoLIY3DrPq5CyDAF3FKkQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779076393707&ei=bBkEV_CnLMW53gHcrYzwBA&url=http://www.globalpost.com/article/6755549/2016/04/05/ebola-claims-another-victim-guinea-vaccinations-ramped,4/5/16 15:30,Breaking,,,9,8,,Google News,-10.94177,10.43821,
"Jacob Town, Grand Bassa, Liberia",Liberia,Ebola,Humans,4139065,Ebola woman died at Ma Wata - The New Dawn Liberia,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE93JWIPCGc9sfTXAyf1VHG4X7s4A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779076393707&ei=-MQDV6rrLcnE3gG4vJHQBw&url=http://www.thenewdawnliberia.com/news/10014-ebola-woman-died-at-ma-wata,4/4/16 20:47,Breaking,,,,1,,Google News,-10.03333,5.9,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,4139061,Emergency Response to Ebola Flare-up is Underway in Liberia - Infection Control Today,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFuVCME9n1MOfM1tYMl-Pyr4iEkiA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779076393707&ei=-MQDV6rrLcnE3gG4vJHQBw&url=http://www.infectioncontroltoday.com/news/2016/04/emergency-response-to-ebola-flareup-is-underway-in-liberia.aspx,4/4/16 19:48,Breaking,,,,,,Google News,-10.804722,6.310556,
Guinea,Guinea,Ebola,Humans,4139061,Emergency Response to Ebola Flare-up is Underway in Liberia - Infection Control Today,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFuVCME9n1MOfM1tYMl-Pyr4iEkiA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779076393707&ei=-MQDV6rrLcnE3gG4vJHQBw&url=http://www.infectioncontroltoday.com/news/2016/04/emergency-response-to-ebola-flareup-is-underway-in-liberia.aspx,4/4/16 19:48,Breaking,,,,,,Google News,-10.94177,10.43821,
Guinea,Guinea,Ebola,Humans,4136031,"Liberia confirms 2nd new Ebola case, possibly from Guinea - Miami Herald",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGvxFi-bcwGFnSzPaV1naOqe8H02Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779073807011&ei=wvcAV_CVMtTK3gHZlY3gBg&url=http://www.miamiherald.com/news/article69703422.html,4/3/16 6:58,Breaking,,,,,,Google News,-10.94177,10.43821,Imported Case; Source of imported infection
Liberia,Liberia,Ebola,Humans,4136031,"Liberia confirms 2nd new Ebola case, possibly from Guinea - Miami Herald",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGvxFi-bcwGFnSzPaV1naOqe8H02Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779073807011&ei=wvcAV_CVMtTK3gHZlY3gBg&url=http://www.miamiherald.com/news/article69703422.html,4/3/16 6:58,Breaking,,,2,1,,Google News,-9.30791,6.44809,Imported Case; Source of imported infection
Guinea,Guinea,Ebola,Humans,4132602,Guinea Bissau raises alert levels over Ebola scare - Xinhua,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGreyZ1kqpZ-Lqw4VfLm-GPKUO2LA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779073807011&ei=42L-Vsi0OqXS3AGJ453gBg&url=http://news.xinhuanet.com/english/2016-04/01/c_135244316.htm,4/1/16 6:35,Breaking,,,,,,Google News,-10.94177,10.43821,
Guinea,Guinea,Ebola,Humans,4130280,Ebola again began to take life in Liberia ‰ÛÒ Houston Tech Day - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGv5k_QWS6K55muqblG8rpUOURf9g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779073894045&ei=bC39VvCeL4zL3gHnxIZo&url=http://www.albanydailystar.com/health/ebola-again-began-to-take-life-in-liberia-houston-tech-day-13927.html,3/31/16 8:52,Breaking,,,,,,Google News,-10.94177,10.43821,Imported Case; Source of imported infection
Liberia,Liberia,Ebola,Humans,4130280,Ebola again began to take life in Liberia ‰ÛÒ Houston Tech Day - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGv5k_QWS6K55muqblG8rpUOURf9g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779073894045&ei=bC39VvCeL4zL3gHnxIZo&url=http://www.albanydailystar.com/health/ebola-again-began-to-take-life-in-liberia-houston-tech-day-13927.html,3/31/16 8:52,Breaking,,,,1,,Google News,-9.30791,6.44809,Imported Case; Source of imported infection
Guinea,Guinea,Ebola,Humans,4129220,Mercy Corps Border Campaigning to Protect Against Latest Outbreak - Front Page Africa,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFsyaUkiSibUUXZagpc-UjoRMreVg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=rIT8VvCzKJTB3gGN9KOYCA&url=http://www.frontpageafricaonline.com/index.php/health/326-mercy-corps-border-campaigning-to-protect-against-latest-outbreak,3/30/16 21:06,Breaking,,,,,,Google News,-10.94177,10.43821,
Liberia,Liberia,Ebola,Humans,4129220,Mercy Corps Border Campaigning to Protect Against Latest Outbreak - Front Page Africa,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFsyaUkiSibUUXZagpc-UjoRMreVg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=rIT8VvCzKJTB3gGN9KOYCA&url=http://www.frontpageafricaonline.com/index.php/health/326-mercy-corps-border-campaigning-to-protect-against-latest-outbreak,3/30/16 21:06,Breaking,,,,,,Google News,-9.30791,6.44809,
